source_city,destination_city,km,fuel,toll
Marco de Canavezes,Tavira,451.96,38.11,2.98
Marco de Canavezes,Odemira,401.84,49.83,0.62
Lourinhã,Marco de Canavezes,237.12,34.14,3.15
Albergaria-a-Velha,Marco de Canavezes,61.09,9.14,2.22
Marco de Canavezes,Pinhal Novo,290.95,40.4,4.67
Marco de Canavezes,Portalegre,216.45,27.33,0.01
Cartaxo,Marco de Canavezes,230.9,33.86,3.81
Marco de Canavezes,Porto de Mós,184.7,11.73,2.04
Marco de Canavezes,Pontinha,282.78,15.73,3.25
Marco de Canavezes,Mirandela,87.51,9.88,1.63
Marco de Canavezes,Vizela,25.52,1.65,3.03
Almeirim,Marco de Canavezes,222.79,24.51,4.0
Caniço,Marco de Canavezes,1223.26,72.42,3.5
Marco de Canavezes,São Mamede de Infesta,38.97,5.37,2.82
Fânzeres,Marco de Canavezes,32.22,2.31,1.38
Marco de Canavezes,Oliveira do Bairro,79.69,8.14,4.13
Lagoa,Marco de Canavezes,1544.94,199.43,1.98
Marco de Canavezes,Vale de Cambra,42.57,3.58,1.14
Marco de Canavezes,Vagos,82.89,10.28,1.74
Arcos de Valdevez,Marco de Canavezes,77.32,9.26,1.21
Arouca,Marco de Canavezes,29.33,4.29,3.51
Lordelo do Ouro,Marco de Canavezes,42.17,3.12,3.13
Marco de Canavezes,Salvaterra de Magos,245.81,16.99,0.37
Marco de Canavezes,Meixedo,137.03,10.66,2.27
Marco de Canavezes,Póvoa de Lanhoso,43.69,3.31,4.47
Machico,Marco de Canavezes,1213.34,125.97,0.76
Azambuja,Marco de Canavezes,242.83,15.63,0.19
Marco de Canavezes,Seia,92.74,5.21,4.85
Marco de Canavezes,São João da Madeira,43.08,4.17,0.41
Bougado,Marco de Canavezes,36.33,4.61,2.74
Cacém,Marco de Canavezes,285.59,19.41,1.09
Marco de Canavezes,Vialonga,268.5,20.06,1.69
Marco de Canavezes,Rio Maior,215.96,17.4,4.92
Belas,Marco de Canavezes,283.5,23.81,0.13
Marco de Canavezes,Praia da Vitória,1635.7,159.56,4.16
Laranjeira,Marco de Canavezes,293.26,15.03,4.08
Marco de Canavezes,Oliveira do Hospital,93.78,12.77,1.16
Marco de Canavezes,Ul,49.97,2.97,4.97
Marco de Canavezes,Oliveira de Azemeis,46.98,6.17,1.1
Elvas,Marco de Canavezes,269.27,38.48,3.32
Baião,Marco de Canavezes,9.96,0.8,4.15
Costas de Cão,Marco de Canavezes,293.77,20.6,3.51
Caparica,Marco de Canavezes,293.05,33.56,2.42
Marco de Canavezes,Mealhada,92.97,13.69,3.26
Cinfães,Marco de Canavezes,14.11,1.3,1.17
Entroncamento,Marco de Canavezes,192.5,19.06,4.39
Celorico de Basto,Marco de Canavezes,25.78,3.81,3.52
Alfena,Marco de Canavezes,32.06,3.42,3.83
Coruche,Marco de Canavezes,249.18,32.71,2.44
Marco de Canavezes,Piedade,292.06,27.86,1.69
Marco de Canavezes,Soure,130.19,7.12,4.91
Marco de Canavezes,Monção,102.6,5.75,3.85
Marco de Canavezes,Vila Real de Santo António,446.73,49.65,3.67
Amares,Marco de Canavezes,52.7,5.09,3.29
Camarate,Marco de Canavezes,277.18,17.2,1.29
Marco de Canavezes,Sacavém,277.51,37.23,3.58
Mangualde,Marco de Canavezes,71.84,8.66,0.01
Marco de Canavezes,Santa Iria da Azóia,271.55,27.71,2.92
Marco de Canavezes,São Tiago de Custoias,41.9,6.17,4.73
Marco de Canavezes,Parede,295.08,24.1,2.8
Lousã,Marco de Canavezes,119.19,10.81,3.53
Alcochete,Marco de Canavezes,278.34,19.73,1.9
Marco de Canavezes,Montemor-o-Novo,281.34,35.35,2.83
Marco de Canavezes,Peso da Régua,30.38,4.22,4.79
Condeixa-a-Nova,Marco de Canavezes,122.09,17.04,2.53
Marco de Canavezes,São Pedro do Sul,48.63,4.54,3.03
Marco de Canavezes,Sobrado de Paiva,18.75,2.31,1.7
Marco de Canavezes,Ponte de Sôr,215.25,27.37,4.36
Cabeceiras de Basto,Marco de Canavezes,39.1,3.63,1.89
Marco de Canavezes,Quarteira,456.73,63.7,3.88
Marco de Canavezes,Sertã,153.58,17.14,4.31
Batalha,Marco de Canavezes,178.55,21.05,1.41
Macedo de Cavaleiros,Marco de Canavezes,107.67,5.73,1.58
Marco de Canavezes,Ramada,278.78,22.46,2.4
Marco de Canavezes,Serpa,364.1,41.74,0.02
Castro Daire,Marco de Canavezes,36.36,3.65,1.39
Marco de Canavezes,Penacova,102.26,6.94,2.46
Marco de Canavezes,Moura,343.21,34.6,1.46
Marco de Canavezes,Sobreda,295.03,40.81,3.38
Marco de Canavezes,Nazaré,192.27,12.4,3.43
Grândola,Marco de Canavezes,335.73,39.68,1.23
Anta,Marco de Canavezes,44.44,3.24,2.69
Falagueira,Marco de Canavezes,284.45,23.26,0.22
Cadaval,Marco de Canavezes,229.39,34.12,3.4
Marco de Canavezes,Valbom,35.41,3.93,4.99
Horta,Marco de Canavezes,1773.0,223.85,4.54
Estremoz,Marco de Canavezes,264.33,20.72,4.27
Marco de Canavezes,Sines,363.67,22.94,4.36
Marco de Canavezes,São Martinho do Bispo,111.64,12.96,3.83
Marco de Canavezes,Valença,102.14,7.02,0.68
Gouveia,Marco de Canavezes,88.93,8.34,1.73
Marco de Canavezes,Nelas,78.23,8.73,1.37
Gafanha da Nazaré,Marco de Canavezes,77.53,4.88,1.7
Alcanena,Marco de Canavezes,196.49,14.49,2.36
Arruda dos Vinhos,Marco de Canavezes,256.48,27.33,2.45
Marco de Canavezes,Ribeira Brava,1232.6,167.58,0.46
Aldeia de Paio Pires,Marco de Canavezes,294.65,30.35,2.92
Fátima,Marco de Canavezes,178.43,15.1,1.47
Bombarral,Marco de Canavezes,229.41,12.22,4.32
Marco de Canavezes,Vila Pouca de Aguiar,54.6,5.02,3.72
Marco de Canavezes,Miranda do Corvo,121.29,9.87,3.58
Lamaçães,Marco de Canavezes,45.03,4.0,3.97
Alcácer do Sal,Marco de Canavezes,313.63,20.9,0.59
Marco de Canavezes,Vieira do Minho,50.0,4.46,0.54
Marco de Canavezes,Moreira,42.53,5.7,2.25
Aldoar,Marco de Canavezes,43.42,3.64,3.27
Marco de Canavezes,São Félix da Marinha,43.08,5.04,2.28
Marco de Canavezes,Sabugal,128.62,15.86,1.69
Marco de Canavezes,Mira,97.33,6.29,0.9
Marco de Canavezes,Sátão,61.87,4.21,1.38
Arcozelo,Marco de Canavezes,43.49,3.29,1.8
Marco de Canavezes,Sever do Vouga,54.94,8.09,1.1
Arganil,Marco de Canavezes,107.47,5.77,0.75
Marco de Canavezes,Tábua,91.22,6.07,0.85
Marco de Canavezes,Ponte da Barca,72.92,4.12,3.75
Eiras,Marco de Canavezes,107.05,12.72,1.77
Alijó,Marco de Canavezes,57.54,6.17,0.96
Marco de Canavezes,Vendas Novas,279.39,16.95,4.44
Marco de Canavezes,Portela,278.89,40.32,1.9
Costa de Caparica,Marco de Canavezes,296.76,36.9,3.27
Marco de Canavezes,Óbidos,219.62,17.01,1.39
Ansião,Marco de Canavezes,142.68,20.97,2.01
Marco de Canavezes,Santa Comba Dão,87.21,4.37,1.71
Calheta,Marco de Canavezes,1233.13,160.93,1.34
Esmoriz,Marco de Canavezes,47.2,3.73,3.78
Marco de Canavezes,São João das Lampas,278.82,19.59,0.97
Marco de Canavezes,Resende,19.17,2.43,2.97
Marco de Canavezes,Vila Frescainha,56.88,8.01,0.68
Feira,Marco de Canavezes,43.71,4.83,1.98
Avintes,Marco de Canavezes,34.77,1.99,1.53
Marco de Canavezes,Reguengos de Monsaraz,311.68,17.22,0.85
Marco de Canavezes,Oliveirinha,73.95,7.28,0.11
Marco de Canavezes,Valadares,42.26,4.61,1.47
Marco de Canavezes,São Brás de Alportel,448.36,35.08,4.49
Marco de Canavezes,Santo André,350.27,52.2,2.18
Marco de Canavezes,Murtosa,64.42,5.36,3.69
Marco de Canavezes,São João de Ver,42.26,3.26,1.82
Grijó,Marco de Canavezes,40.02,5.93,0.81
Marco de Canavezes,Vouzela,51.21,2.62,3.95
Marco de Canavezes,Montalegre,77.24,7.31,1.99
Cunha Alta,Marco de Canavezes,75.17,10.25,0.38
Marco de Canavezes,Melres,24.43,3.08,1.59
Marco de Canavezes,Vila Franca do Campo,1533.76,196.18,3.03
Estreito de Câmara de Lobos,Marco de Canavezes,1228.5,176.21,1.72
Marco de Canavezes,Oliveira de Frades,50.24,4.65,2.77
Ericeira,Marco de Canavezes,269.14,34.93,1.41
Marco de Canavezes,Moimenta da Beira,50.15,6.81,4.83
Marco de Canavezes,Sobral de Monte Agraço,255.23,23.58,0.11
Marco de Canavezes,Setúbal,301.99,17.59,0.09
Marco de Canavezes,Praia do Carvoeiro,454.15,63.18,1.36
Marco de Canavezes,Santa Clara,112.88,12.07,2.11
Maceira,Marco de Canavezes,177.64,10.28,3.85
Marco de Canavezes,Trancoso,80.66,10.3,3.99
Carregal do Sal,Marco de Canavezes,84.24,11.23,4.27
Idanha-a-Nova,Marco de Canavezes,160.23,21.41,1.87
Guifões,Marco de Canavezes,43.25,5.3,1.67
Marco de Canavezes,Pinhel,101.41,8.57,3.45
Marco de Canavezes,Mortágua,87.85,7.6,1.67
Marco de Canavezes,Tavarede,127.27,9.61,1.17
Aljustrel,Marco de Canavezes,367.03,34.38,1.0
Marco de Canavezes,Melgaço,104.12,7.79,0.31
Marco de Canavezes,Paredes de Coura,87.76,5.69,1.5
Gondizalves,Marco de Canavezes,47.38,2.51,3.3
Marco de Canavezes,Rebordosa,22.68,3.16,1.37
Marco de Canavezes,Vinhais,119.03,11.77,0.23
Carregado,Marco de Canavezes,250.44,22.53,3.16
Caxias,Marco de Canavezes,292.24,25.87,4.58
Almargem,Marco de Canavezes,276.45,14.91,3.56
Aver-o-Mar,Marco de Canavezes,57.34,2.94,0.25
Marco de Canavezes,Vila Nova de Cerveira,97.58,9.9,4.87
Marco de Canavezes,Ponta do Sol,1234.12,143.76,4.79
Marco de Canavezes,Rabo de Peixe,1542.9,82.68,3.29
Lourosa,Marco de Canavezes,40.29,4.32,3.17
Ferreira do Zêzere,Marco de Canavezes,165.1,20.9,2.95
Marco de Canavezes,Torre de Moncorvo,85.31,12.43,2.86
Chamusca,Marco de Canavezes,204.47,13.28,4.37
Covilhã,Vila Real,114.29,12.11,3.95
Caldas da Rainha,Vila Real,240.65,20.46,4.47
Montijo,Vila Real,306.18,39.98,3.09
Rio Tinto,Vila Real,69.91,6.62,2.14
Fafe,Vila Real,39.16,2.31,2.83
Sesimbra,Vila Real,337.12,43.68,1.61
Amora,Vila Real,318.68,46.92,0.73
Vila Real,Vila Verde,69.75,5.66,1.01
Vila Real,Águeda,99.51,14.06,3.22
Vale de Cavalos,Vila Real,317.25,30.35,0.43
Lousada,Vila Real,45.02,5.07,4.34
Rio de Mouro,Vila Real,311.48,44.94,1.11
Corroios,Vila Real,320.92,27.08,2.56
Ourém,Vila Real,196.01,20.14,1.25
Olhão,Vila Real,473.84,64.11,4.87
Albufeira,Vila Real,469.02,25.68,1.73
Ponte de Lima,Vila Real,87.31,12.41,3.61
Alenquer,Vila Real,271.21,27.76,1.88
Santa Cruz,Vila Real,1251.22,110.3,2.59
Guarda,Vila Real,93.4,10.15,4.25
Chaves,Vila Real,54.47,6.84,2.79
Tomar,Vila Real,196.66,10.97,0.88
Abrantes,Vila Real,206.68,21.91,1.81
Marinha Grande,Vila Real,199.07,26.07,4.89
Trofa,Vila Real,68.28,10.0,4.01
Mafamude,Vila Real,74.65,9.13,1.75
Ermezinde,Vila Real,67.76,4.15,0.99
Silves,Vila Real,460.35,54.15,1.16
Torres Novas,Vila Real,212.02,11.51,0.65
Cantanhede,Vila Real,127.37,15.04,2.1
Beja,Vila Real,364.34,46.73,4.06
Agualva,Vila Real,310.12,31.04,0.33
Câmara de Lobos,Vila Real,1261.2,105.38,3.08
Angra do Heroísmo,Vila Real,1685.04,173.02,3.38
Bragança,Vila Real,100.24,14.31,2.77
Esposende,Vila Real,90.65,6.37,4.05
Ribeira Grande,Vila Real,1572.24,101.73,1.49
Vila Real,Ílhavo,109.41,16.39,0.69
Lagos,Vila Real,472.49,67.28,0.44
Espinho,Vila Real,81.45,9.08,2.32
Charneca,Vila Real,321.76,46.97,4.52
Santiago do Cacém,Vila Real,373.1,55.14,1.08
Perafita,Vila Real,80.24,4.79,0.2
Póvoa de Santa Iria,Vila Real,293.37,17.25,4.05
Fundão,Vila Real,130.7,17.02,1.69
Benavente,Vila Real,272.44,33.64,3.43
Senhora da Hora,Vila Real,76.81,3.98,0.45
Tondela,Vila Real,90.98,6.23,1.72
Arrentela,Vila Real,318.19,19.0,3.53
Massamá,Vila Real,310.59,24.8,1.74
Anadia,Vila Real,111.89,16.59,1.04
Vila Real,Águas Santas,71.07,4.44,4.09
Estarreja,Vila Real,91.82,7.37,4.27
Lamego,Vila Real,22.61,1.9,0.86
Peniche,Vila Real,255.5,21.13,2.49
Estoril,Vila Real,320.24,27.98,3.55
Montemor-o-Velho,Vila Real,147.76,20.34,0.87
Tavira,Vila Real,462.4,32.72,3.12
Odemira,Vila Real,419.13,25.7,0.24
Lourinhã,Vila Real,264.0,37.73,3.11
Albergaria-a-Velha,Vila Real,91.02,8.05,0.86
Pinhal Novo,Vila Real,312.32,39.83,3.39
Portalegre,Vila Real,221.48,29.5,3.59
Cartaxo,Vila Real,252.89,30.26,4.44
Porto de Mós,Vila Real,209.01,15.57,3.32
Pontinha,Vila Real,306.82,40.76,3.34
Mirandela,Vila Real,51.49,3.03,2.18
Vila Real,Vizela,47.38,5.88,1.19
Almeirim,Vila Real,243.2,28.77,3.74
Caniço,Vila Real,1255.3,163.98,3.49
São Mamede de Infesta,Vila Real,73.65,3.82,4.11
Fânzeres,Vila Real,67.53,8.31,2.38
Oliveira do Bairro,Vila Real,107.29,16.02,1.6
Lagoa,Vila Real,1580.28,185.38,0.89
Vale de Cambra,Vila Real,73.93,7.02,0.48
Vagos,Vila Real,113.84,17.05,0.11
Arcos de Valdevez,Vila Real,83.21,10.15,4.96
Arouca,Vila Real,58.33,5.66,2.35
Lordelo do Ouro,Vila Real,77.49,9.51,4.6
Salvaterra de Magos,Vila Real,267.37,39.61,1.17
Meixedo,Vila Real,102.2,14.77,1.57
Póvoa de Lanhoso,Vila Real,52.93,3.54,3.66
Machico,Vila Real,1245.35,73.66,1.72
Azambuja,Vila Real,265.22,19.58,2.04
Seia,Vila Real,97.24,13.03,4.8
São João da Madeira,Vila Real,77.06,11.28,3.91
Bougado,Vila Real,66.35,5.49,3.74
Cacém,Vila Real,310.42,42.01,4.81
Vialonga,Vila Real,292.03,16.25,0.66
Rio Maior,Vila Real,240.09,27.74,1.36
Belas,Vila Real,308.02,38.92,1.71
Praia da Vitória,Vila Real,1670.24,182.3,4.96
Laranjeira,Vila Real,316.55,16.15,0.39
Oliveira do Hospital,Vila Real,103.62,5.48,1.78
Ul,Vila Real,82.47,11.08,0.23
Oliveira de Azemeis,Vila Real,79.52,7.09,4.2
Elvas,Vila Real,272.76,15.67,1.92
Baião,Vila Real,28.0,3.37,0.45
Costas de Cão,Vila Real,317.45,45.82,1.21
Caparica,Vila Real,316.68,25.35,3.26
Mealhada,Vila Real,117.95,12.04,3.75
Cinfães,Vila Real,38.01,4.91,2.89
Entroncamento,Vila Real,212.07,24.95,4.11
Celorico de Basto,Vila Real,23.73,2.42,1.54
Alfena,Vila Real,65.6,8.04,4.95
Coruche,Vila Real,267.94,35.8,4.41
Piedade,Vila Real,315.47,31.99,0.31
Soure,Vila Real,155.26,19.03,4.04
Monção,Vila Real,105.83,13.62,4.3
Vila Real,Vila Real de Santo António,455.55,61.05,1.47
Amares,Vila Real,62.88,6.2,0.38
Camarate,Vila Real,300.91,27.71,3.22
Sacavém,Vila Real,300.93,34.67,1.77
Mangualde,Vila Real,76.59,7.67,3.4
Santa Iria da Azóia,Vila Real,295.02,23.44,3.04
São Tiago de Custoias,Vila Real,76.27,8.22,0.21
Parede,Vila Real,319.97,26.48,4.63
Lousã,Vila Real,138.0,14.17,4.04
Alcochete,Vila Real,300.48,26.59,2.67
Montemor-o-Novo,Vila Real,296.46,18.57,2.77
Peso da Régua,Vila Real,15.11,1.97,3.12
Condeixa-a-Nova,Vila Real,145.56,8.32,3.36
São Pedro do Sul,Vila Real,66.29,5.65,3.31
Sobrado de Paiva,Vila Real,52.54,7.16,0.53
Ponte de Sôr,Vila Real,228.46,25.57,1.95
Cabeceiras de Basto,Vila Real,32.49,2.98,4.77
Quarteira,Vila Real,470.14,63.35,2.72
Sertã,Vila Real,168.65,12.69,3.49
Batalha,Vila Real,203.29,22.46,2.79
Macedo de Cavaleiros,Vila Real,71.62,10.14,0.42
Ramada,Vila Real,302.89,37.36,1.97
Serpa,Vila Real,373.54,48.14,4.16
Castro Daire,Vila Real,46.63,4.86,1.16
Penacova,Vila Real,122.39,18.01,2.37
Moura,Vila Real,351.28,20.73,1.47
Sobreda,Vila Real,318.59,36.69,1.98
Nazaré,Vila Real,219.06,20.35,2.58
Grândola,Vila Real,353.35,35.18,1.8
Anta,Vila Real,80.41,7.7,0.47
Falagueira,Vila Real,308.65,41.66,2.38
Cadaval,Vila Real,254.63,23.19,4.7
Valbom,Vila Real,71.13,8.33,3.43
Horta,Vila Real,1807.43,230.89,4.97
Estremoz,Vila Real,272.72,29.76,3.53
Sines,Vila Real,383.11,41.96,2.29
São Martinho do Bispo,Vila Real,135.47,13.92,3.92
Valença,Vila Real,109.97,13.71,3.55
Gouveia,Vila Real,89.17,9.7,2.87
Nelas,Vila Real,86.91,6.67,2.52
Gafanha da Nazaré,Vila Real,109.91,9.2,1.36
Alcanena,Vila Real,218.45,15.75,4.92
Arruda dos Vinhos,Vila Real,280.29,33.53,1.62
Ribeira Brava,Vila Real,1264.88,150.76,2.86
Aldeia de Paio Pires,Vila Real,317.29,24.91,1.31
Fátima,Vila Real,201.15,24.72,1.63
Bombarral,Vila Real,255.2,33.59,4.65
Vila Pouca de Aguiar,Vila Real,22.91,3.29,0.72
Miranda do Corvo,Vila Real,141.71,11.25,1.9
Lamaçães,Vila Real,60.87,4.77,0.07
Alcácer do Sal,Vila Real,331.1,47.26,3.48
Vieira do Minho,Vila Real,49.55,6.13,2.16
Moreira,Vila Real,75.89,6.64,4.46
Aldoar,Vila Real,78.47,9.91,3.2
São Félix da Marinha,Vila Real,79.14,9.21,4.0
Sabugal,Vila Real,118.51,12.98,0.4
Mira,Vila Real,127.42,10.93,4.67
Sátão,Vila Real,62.46,4.73,3.28
Arcozelo,Vila Real,79.56,6.09,3.93
Sever do Vouga,Vila Real,82.79,7.7,4.6
Arganil,Vila Real,122.4,11.28,4.9
Tábua,Vila Real,105.93,12.42,3.96
Ponte da Barca,Vila Real,79.97,4.19,1.89
Eiras,Vila Real,130.21,13.23,1.07
Alijó,Vila Real,22.82,2.61,3.03
Vendas Novas,Vila Real,296.86,28.78,0.8
Portela,Vila Real,302.31,41.21,3.36
Costa de Caparica,Vila Real,320.63,40.16,0.46
Vila Real,Óbidos,245.89,13.5,1.4
Ansião,Vila Real,163.76,15.04,4.14
Santa Comba Dão,Vila Real,104.77,5.8,1.47
Calheta,Vila Real,1265.56,69.86,1.41
Esmoriz,Vila Real,82.9,7.83,3.06
São João das Lampas,Vila Real,304.83,19.84,4.89
Resende,Vila Real,27.62,4.0,3.6
Vila Frescainha,Vila Real,79.44,8.49,0.73
Feira,Vila Real,78.52,8.3,2.43
Avintes,Vila Real,70.73,8.99,2.37
Reguengos de Monsaraz,Vila Real,320.13,41.26,4.3
Oliveirinha,Vila Real,104.38,15.62,1.59
Valadares,Vila Real,78.19,9.18,2.77
São Brás de Alportel,Vila Real,460.36,36.48,1.18
Santo André,Vila Real,369.34,20.29,1.02
Murtosa,Vila Real,97.37,6.8,1.99
São João de Ver,Vila Real,77.5,8.29,0.03
Grijó,Vila Real,76.03,9.63,4.88
Vila Real,Vouzela,70.61,8.93,0.52
Montalegre,Vila Real,58.82,5.53,4.85
Cunha Alta,Vila Real,77.15,7.54,1.95
Melres,Vila Real,60.24,6.33,0.76
Vila Franca do Campo,Vila Real,1569.13,131.25,1.28
Estreito de Câmara de Lobos,Vila Real,1260.7,139.86,1.96
Oliveira de Frades,Vila Real,72.34,9.34,4.77
Ericeira,Vila Real,295.48,41.9,3.8
Moimenta da Beira,Vila Real,36.48,2.75,0.7
Sobral de Monte Agraço,Vila Real,279.85,34.73,3.71
Setúbal,Vila Real,322.9,33.16,3.42
Praia do Carvoeiro,Vila Real,469.9,60.67,2.75
Santa Clara,Vila Real,135.87,7.27,1.41
Maceira,Vila Real,203.36,25.03,2.15
Trancoso,Vila Real,65.9,8.45,0.63
Carregal do Sal,Vila Real,98.09,7.5,3.48
Idanha-a-Nova,Vila Real,158.72,14.5,3.99
Guifões,Vila Real,77.73,3.94,3.85
Pinhel,Vila Real,80.6,5.29,1.02
Mortágua,Vila Real,108.11,9.12,1.17
Tavarede,Vila Real,155.96,21.8,2.56
Aljustrel,Vila Real,381.17,51.44,4.18
Melgaço,Vila Real,101.0,13.81,4.64
Paredes de Coura,Vila Real,96.32,12.29,3.23
Gondizalves,Vila Real,65.34,7.02,4.13
Rebordosa,Vila Real,56.88,8.32,0.58
Vila Real,Vinhais,85.01,12.6,0.42
Carregado,Vila Real,273.54,29.6,2.45
Caxias,Vila Real,316.64,28.72,0.5
Almargem,Vila Real,301.32,35.77,2.76
Aver-o-Mar,Vila Real,86.45,8.4,2.96
Vila Nova de Cerveira,Vila Real,109.77,14.43,2.56
Ponta do Sol,Vila Real,1266.44,145.56,3.92
Rabo de Peixe,Vila Real,1578.2,171.8,0.78
Lourosa,Vila Real,75.87,7.24,4.63
Ferreira do Zêzere,Vila Real,182.91,23.26,2.71
Torre de Moncorvo,Vila Real,52.44,2.76,4.92
Chamusca,Vila Real,223.85,19.16,4.37
Caldas da Rainha,Covilhã,170.53,21.6,2.82
Covilhã,Montijo,216.38,18.67,4.39
Covilhã,Rio Tinto,134.56,12.41,2.24
Covilhã,Fafe,141.23,14.37,2.69
Covilhã,Sesimbra,246.4,13.72,2.53
Amora,Covilhã,230.75,24.77,0.21
Covilhã,Vila Verde,170.88,9.22,4.26
Covilhã,Águeda,86.7,9.45,1.94
Covilhã,Vale de Cavalos,230.3,21.9,0.49
Covilhã,Lousada,129.24,17.65,0.36
Covilhã,Rio de Mouro,230.42,27.84,3.37
Corroios,Covilhã,233.46,12.26,2.37
Covilhã,Ourém,116.23,15.57,3.56
Covilhã,Olhão,362.59,41.74,4.55
Albufeira,Covilhã,360.58,19.73,0.76
Covilhã,Ponte de Lima,188.25,25.16,4.46
Alenquer,Covilhã,188.21,24.38,2.47
Covilhã,Santa Cruz,1186.91,148.59,0.74
Covilhã,Guarda,34.3,4.48,4.35
Chaves,Covilhã,161.78,20.64,0.05
Covilhã,Tomar,109.06,10.99,1.05
Abrantes,Covilhã,108.66,12.87,3.78
Covilhã,Marinha Grande,135.96,18.79,1.61
Covilhã,Trofa,147.29,18.47,0.75
Covilhã,Mafamude,131.28,14.31,1.03
Covilhã,Ermezinde,135.97,13.36,2.21
Covilhã,Silves,353.56,31.45,1.34
Covilhã,Torres Novas,125.31,8.33,3.76
Cantanhede,Covilhã,93.27,13.94,1.67
Beja,Covilhã,253.77,30.66,4.98
Agualva,Covilhã,228.35,17.32,4.61
Covilhã,Câmara de Lobos,1197.52,146.75,2.17
Angra do Heroísmo,Covilhã,1702.56,86.35,4.62
Bragança,Covilhã,179.85,14.56,3.32
Covilhã,Esposende,175.95,17.38,1.89
Covilhã,Ribeira Grande,1580.6,143.06,0.79
Covilhã,Ílhavo,105.04,14.66,1.8
Covilhã,Lagos,367.66,39.55,2.12
Covilhã,Espinho,125.74,12.76,0.94
Charneca,Covilhã,235.0,12.11,3.99
Covilhã,Santiago do Cacém,272.17,37.47,2.19
Covilhã,Perafita,145.46,14.07,0.27
Covilhã,Póvoa de Santa Iria,208.01,24.43,4.92
Covilhã,Fundão,16.66,0.89,4.4
Benavente,Covilhã,183.33,19.91,3.32
Covilhã,Senhora da Hora,139.6,17.83,1.56
Covilhã,Tondela,55.69,4.6,0.19
Arrentela,Covilhã,229.94,24.18,2.94
Covilhã,Massamá,228.06,16.91,4.35
Anadia,Covilhã,81.01,5.73,3.98
Covilhã,Águas Santas,137.93,8.82,1.37
Covilhã,Estarreja,104.2,7.32,3.18
Covilhã,Lamego,94.14,14.08,0.23
Covilhã,Peniche,190.57,10.83,1.59
Covilhã,Estoril,239.42,21.43,1.27
Covilhã,Montemor-o-Velho,101.58,7.12,2.86
Covilhã,Tavira,350.19,50.21,4.14
Covilhã,Odemira,315.43,27.12,0.49
Covilhã,Lourinhã,193.56,9.85,1.36
Albergaria-a-Velha,Covilhã,94.8,5.67,0.85
Covilhã,Pinhal Novo,220.24,11.57,4.11
Covilhã,Portalegre,107.56,12.26,0.66
Cartaxo,Covilhã,166.33,23.89,1.47
Covilhã,Porto de Mós,135.72,16.27,1.92
Covilhã,Pontinha,222.84,25.55,3.24
Covilhã,Mirandela,135.91,13.26,2.38
Covilhã,Vizela,139.55,16.58,2.78
Almeirim,Covilhã,152.91,13.78,0.02
Caniço,Covilhã,1190.92,152.55,3.31
Covilhã,São Mamede de Infesta,138.1,18.77,2.05
Covilhã,Fânzeres,131.32,18.2,2.11
Covilhã,Oliveira do Bairro,88.76,5.3,3.47
Covilhã,Lagoa,1588.25,215.34,0.01
Covilhã,Vale de Cambra,98.84,4.98,4.47
Covilhã,Vagos,104.71,15.3,1.54
Arcos de Valdevez,Covilhã,190.28,14.35,2.4
Arouca,Covilhã,95.39,5.32,3.7
Covilhã,Lordelo do Ouro,137.07,18.55,2.17
Covilhã,Salvaterra de Magos,178.4,15.22,2.5
Covilhã,Meixedo,184.7,21.57,2.6
Covilhã,Póvoa de Lanhoso,156.47,20.39,2.03
Covilhã,Machico,1180.82,121.8,2.16
Azambuja,Covilhã,178.87,17.81,4.88
Covilhã,Seia,23.02,2.57,0.79
Covilhã,São João da Madeira,108.88,9.89,2.02
Bougado,Covilhã,145.55,18.27,4.67
Cacém,Covilhã,228.86,21.09,2.5
Covilhã,Vialonga,207.33,18.93,2.19
Covilhã,Rio Maior,161.83,9.69,2.76
Belas,Covilhã,225.55,20.77,3.22
Covilhã,Praia da Vitória,1688.11,113.29,2.66
Covilhã,Laranjeira,229.7,21.56,3.55
Covilhã,Oliveira do Hospital,32.51,4.24,1.94
Covilhã,Ul,103.45,9.17,1.78
Covilhã,Oliveira de Azemeis,103.24,13.26,1.95
Covilhã,Elvas,158.47,9.8,3.28
Baião,Covilhã,107.95,14.2,0.58
Costas de Cão,Covilhã,231.76,28.8,1.28
Caparica,Covilhã,230.85,17.85,1.83
Covilhã,Mealhada,81.53,8.33,1.15
Cinfães,Covilhã,100.0,9.72,1.81
Covilhã,Entroncamento,122.72,14.39,3.41
Celorico de Basto,Covilhã,129.67,16.2,4.49
Alfena,Covilhã,136.88,16.43,1.4
Coruche,Covilhã,171.59,24.92,0.35
Covilhã,Piedade,229.03,24.6,1.08
Covilhã,Soure,98.96,10.09,2.12
Covilhã,Monção,215.12,17.05,0.8
Covilhã,Vila Real de Santo António,342.36,33.28,2.53
Amares,Covilhã,166.12,18.78,0.28
Camarate,Covilhã,216.32,20.77,0.31
Covilhã,Sacavém,215.33,19.47,3.25
Covilhã,Mangualde,42.32,4.23,3.17
Covilhã,Santa Iria da Azóia,209.93,23.43,0.15
Covilhã,São Tiago de Custoias,141.17,17.71,2.14
Covilhã,Parede,238.07,17.11,3.05
Covilhã,Lousã,66.36,4.07,0.21
Alcochete,Covilhã,211.08,28.12,2.79
Covilhã,Montemor-o-Novo,191.54,16.04,1.72
